CarMake,CarModel,CarYear,Car_n_serie,Car_plate
Subaru,Impreza WRX,2011,4v3kN0gZWfd1876j,EQI047
Volkswagen,GTI,2006,7h7aEicLKda1167w,XLV176
Ford,Crown Victoria,1994,0y7tW3yULmP1644e,NKG840
Mitsubishi,GTO,1991,1a0eWIz4Hqj9544n,NSK358
Pontiac,Fiero,1986,9j9hVEj8Xx47805l,S67947
Chevrolet,G-Series 1500,1997,3z0eUoxS0gu7632c,OPH321
Ford,Mustang,2002,0m8nZ7n3KwV6595x,N1B069
Cadillac,CTS,2006,7r4vPfl7Mrq6055i,YIB034
Lexus,LX,2010,9u7nZZxFXgi0503c,GEJ220
Mitsubishi,Truck,1996,0r0qVFxOF3c7123f,GOK171
Ford,E150,1984,3b8nNMnC03U2687i,F8G399
Volkswagen,Golf,1991,3e4eCreDX6R7272j,KDO219
Mitsubishi,Outlander,2010,3l6qKo3F9sI5780x,Y2D294
Mazda,626,1998,2c1lF7o56dK1004d,A1P757
GMC,3500 Club Coupe,1997,6g2rAmiHR101289h,DEG597
Ford,Windstar,1997,7w4jX2mZZww6874r,DZF014
Dodge,Ram 3500,1998,5v2oHm27B4f1396w,SDR018
Ford,Expedition EL,2008,0g9kBA5FA5P3344p,DGM006
Oldsmobile,Silhouette,1994,7r5qIiwF5cI6946j,CVP179
Honda,Insight,2012,6h5sWbuWL331673n,EKH295
Dodge,Nitro,2008,4q4oQDyU7bA8087j,C2Y821
Kia,Sportage,1998,7h2aS9l2Z8c2390a,BS5250
Hyundai,Tiburon,1998,5t7vTW1H3mX5532h,IG3033
Dodge,Stealth,1996,5n8xEYnOI2U0227d,JFZ528
Mazda,Protege,1998,5t6mTex3Mf99678i,MLP842
Ford,Escort,1998,9i4kJayB84y2056p,IDI701
Dodge,Caravan,2012,7d2kYcoEP1v9876d,O7E263
Pontiac,Grand Prix,1977,9l9fNdj0MvG4232u,ERN137
Mercedes-Benz,S-Class,2001,2r5mTFuZYug2281u,ZKL290
Buick,Rainier,2006,2m4gT81LE0T2494l,DQ9963
Honda,del Sol,1993,0r2nS5m8JbT1824z,CEH311
GMC,Sierra,2011,2y3cB7a38cX0413d,V61847
Chevrolet,Corvair 500,1963,8n7zO37Z0fI0361h,YRV435
Audi,4000,1987,7t3mK9q2O4t7848j,BE7542
Mercedes-Benz,SLK55 AMG,2009,1i6wOJsE5o56725d,G40602
Pontiac,Fiero,1987,1u8aXgaDZ5V8239b,NFK136
Toyota,Tacoma Xtra,1996,4g5vDqyTYaX5709i,DIQ321
Buick,Park Avenue,1994,1a0jUS616vo7387k,ZFF998
Chevrolet,Silverado 1500,2012,4j8qP4zF96g6013e,KI0721
Lexus,ES,2011,5u0tOGmCXbH1322l,OLG110
Mercedes-Benz,300SE,1993,0x1fFUmA0jR7772w,GMV942
Isuzu,Ascender,2009,0n4iGs6KIxr6043n,OGC095
BMW,6 Series,2008,0p6aE2k41lM1001r,G1D867
Dodge,Nitro,2008,0h4kTg2HPy39737v,BS7415
Kia,Rio,2003,8e0xQh40Ixo6972t,AJT214
Volkswagen,GTI,2005,7a0aUx8BL2a9324w,E7L066
Chevrolet,Avalanche 1500,2004,5n9pCdiOWcd5721v,TJ3678
Ford,Econoline E150,1994,8v8yFUcZC6T9928x,WGY167
Jeep,Wrangler,2002,0t4qTmrI7as9206q,GFS709
Land Rover,Range Rover,2010,9y6kMtx5N7L9219t,PCD424
Mercedes-Benz,C-Class,2004,8h6uRNq73cV1483w,FCM101
Suzuki,Esteem,1997,6v8cECy0OxZ9179j,IB8068
Acura,MDX,2001,9t4kSTwURrN7158w,PB7441
Mitsubishi,i-MiEV,2012,0j7xCStOW0c7301h,UR9197
Hyundai,Sonata,1998,7d7eEStYStt6101q,R42510
Mercury,Sable,2004,3z2gAfaJSs72391q,CFN157
Volvo,XC90,2003,8u8sJbi56893552q,Q6Q143
Land Rover,Range Rover Sport,2010,1d0nY67MDxo2730m,UCV023
BMW,Z4,2004,2g8xXWqPZxs2054v,JA5180
Honda,Prelude,1996,6e1vMEeG9pb7346w,JW0376
Mazda,Mazda6,2007,8d9yVSv2T0U5554l,N31724
Pontiac,GTO,2006,8y9tB5u7Q7D2541c,WYN193
Pontiac,Montana,2002,4j8fR5kKM6w9844n,UUT933
GMC,2500,1996,9m7rM5hFViI2555j,U3K469
Volkswagen,Eurovan,1997,5q3cVud0Ssm8121k,ZT5505
Mercury,Tracer,1991,7a0rUlaVElo2726f,TCU629
Pontiac,Grand Prix,1971,9p0jKOc5Y5Q9988c,QGD486
Hyundai,Santa Fe,2002,0z1aYhdE0uM4584h,ES3198
Dodge,Dakota Club,1996,4g1zXN8MNky7447o,MV6128
Dodge,Ram Van B250,1994,8o2oQoqVDbQ4880v,UU9995
Subaru,Impreza,2009,9p8yCc9XHaW4995w,IJ7445
Infiniti,M,1992,6v5wYnl9Rke1604u,KE9303
Buick,Rendezvous,2006,4r2iW9mI61s3276t,WI8928
Austin,Mini Cooper,1964,5g4oY5sPXw90791y,E43763
Citroën,2CV,1948,6d2sQ1z3Fii4985g,GCT935
Volkswagen,GTI,1986,7k6bHvgMK1N3029a,CY0534
Lexus,HS,2012,9q4cEseKSj68085u,MOK036
Plymouth,Prowler,1999,4f0mBnc2IwL2814o,OUX084
Nissan,Sentra,2010,5g1bJdlVPj93741f,D7F549
Chevrolet,S10,1995,9i2fNX1G6k67425d,NUG984
Toyota,Tundra,2007,2e6cNBdVObP0549n,VC3015
Ford,Thunderbird,1991,5t1zCy9AVzK3609h,Z9L489
Volvo,S80,2003,1c3uSGgWV2L6129b,KBF195
Ford,F150,2011,9z0cQe51Bud4085z,YVN240
Chevrolet,Silverado,2001,6f7tRW8DDmO8447u,EE1866
Jeep,Wrangler,2002,1b8wO0t758P4248t,LJZ972
Chevrolet,Suburban 1500,2008,8t6hZSw64wr1867w,B85349
Ford,Bronco,1996,2y5eTCtU4sv9883l,M5K912
Mercedes-Benz,S-Class,1990,5e6aMErC5zq9433m,EH1773
Mazda,RX-7,1994,9d2tT3v1Le70454m,DZD510
Chevrolet,Equinox,2006,6c3tEhf5IoC8098m,XVR569
Isuzu,Trooper,1998,2l0sLfbW82h8205f,EV3244
Lotus,Exige,2004,9v6pEz7M27a1428e,U6D664
Mazda,Mazdaspeed6,2007,1r4fFNlJ8qP4487x,EW1937
Suzuki,XL7,2008,4u8bLpyLBq30467u,T4Z551
Chevrolet,Impala,2000,7i8tVJ2MX5W1670x,QM7891
Jaguar,XF,2011,2c4zQR4MP850152f,P4M762
Mazda,MX-6,1990,6e9tDKt3SiF7150o,K84700
Volvo,C70,2003,1w5cGzxSM2Z7376v,VBZ700
Volkswagen,New Beetle,2005,4v1zP4212gq2333m,FJY137
MINI,Clubman,2010,1e9cDCtIClL9102o,TD9565
Volkswagen,Passat,2002,0n4uCdbOPwp3962x,E44041
Aston Martin,DB9,2008,4t8mZpiCCtD4200n,GRX461
Saab,9-5,2004,0k5ePpp8N0F6535d,G9D565
Acura,Legend,1990,8b3eWl193zo1398u,DGR573
Buick,Lucerne,2010,0v8oWvmWVxp7249t,QT1044
BMW,7 Series,2010,2k3xP8jMXqL0672t,P4R373
Hummer,H1,1997,4j8zCfeUEeg4957o,FUX387
Hyundai,Tiburon,1999,4x0oAexEL4M6730b,FEO389
Mazda,Familia,1989,2s0gOwfIUs33573o,J5O250
Lincoln,Continental,1987,2o1qIZl2Kpb4011r,RSW184
Pontiac,Torrent,2008,4w2wJeb9GwZ9770z,W4Y980
Lexus,LS,2012,5c9pEOsWJjL4805o,OTG531
Suzuki,SJ,1994,0p4gHO76Wzb4389s,CEG959
Lamborghini,Countach,1988,2s7wF2tLVuT3300d,J1F017
Chevrolet,SSR,2003,8c1kSAmX25N0896f,EIW449
Pontiac,G6,2005,5p7uXCtL90x7896z,WX0232
Suzuki,Swift,1996,5i8cC3k7YsO8580s,YVG216
Ford,F250,1996,3h8nRst2Vej9239c,ZAZ576
Chrysler,LHS,1994,6v1nUt1WBqL3477o,DQZ793
Chevrolet,LUV,1979,8o9vPJbQ7u61774d,I9N529
Maserati,Quattroporte,1985,8d1pS6pMJp38880w,P50106
Nissan,370Z,2010,3m0iCpoY1bs5141y,TU5650
Mercedes-Benz,R-Class,2009,5y1tXcz183v2255z,SIT222
Mercury,Mountaineer,2005,5j3mHA5G5ez8714g,K67162
GMC,Savana 1500,1998,8d3tFotZK0q0644r,MYZ331
Ram,C/V,2012,3t8dU83ETiZ7662y,TJD733
Dodge,Dakota,2000,6b0oJmmI28q9888j,VNF228
BMW,3 Series,1999,9v7vUJqR7r30305f,D2S731
Toyota,Sequoia,2011,8e1jWHx79ee4195p,WTS136
Mercedes-Benz,W201,1992,9c6jWGt760y3023e,BPR821
Pontiac,Grand Am,1988,9m5kAZ9O9kR3645m,EWE566
GMC,Yukon,1996,8x0iEQnLThd2580j,B7J947
BMW,X5 M,2010,0s7gQ1lGOci0201m,YIT254
Ford,Econoline E250,2000,0p0qSJt1N3z5138u,SK1138
Hyundai,Azera,2011,4j4uPZrB6vX4582k,XS2993
Suzuki,SJ,1994,0y7vR8jAG6i7360v,CX9849
Volkswagen,Golf III,1993,2q9aZMwE4kf2438u,KJF169
BMW,M Roadster,2006,5g5fVD81TsS0505r,DG9072
Bentley,Continental,2012,1q2fObmZT2E4840o,YY8972
Chevrolet,Tahoe,1995,1f2hM5mDT635622j,XHY044
Toyota,Camry,1995,9n5uRZ9KGo54416a,VPC419
Lexus,ES,1997,2e9nC4c5Y4f0419q,WAI020
Toyota,Tundra,2000,4y1kBCmNR1w5082f,ZS1087
Mercedes-Benz,C-Class,2004,0a0xZbgV0gP5580o,TFU505
Chevrolet,Tahoe,2012,3d9iJO9YL3G7024l,ANL958
Jeep,Grand Cherokee,1996,4n7sT4f0V277554r,AA4080
Ford,Bronco,1984,8o4dFtmRDdZ1259c,KPR180
Isuzu,Hombre,1997,2b7mW8zY85K3650w,T0S753
Nissan,Cube,2012,1u8fX2o45ol2280p,VGR889
Austin,Mini Cooper,1964,7c4xHq6UDo48428o,NWY723
Kia,Spectra,2006,9m2vFJu2Ikb1186f,GVU341
Cadillac,XLR-V,2008,9j7iSf4FK894457w,GQE538
Volvo,XC90,2010,9k7cZ6z0Q5S0701a,X8I343
Kia,Sportage,2012,6q8vFPkJ4xL8312x,VM1755
Kia,Sedona,2011,7m6uDEiOJyM0714m,QEH329
